P1     P2     P3     P4     P5     P6     fix_euros  penalitzacions_euros  total_euros
50kW   50kW   50kW   50kW   50kW   50kW   1152.25    4519.38               86617.49
60kW   60kW   60kW   60kW   60kW   60kW   1382.70    3899.08               86143.40
70kW   70kW   70kW   70kW   70kW   70kW   1613.15    3370.25               85780.56
80kW   80kW   80kW   80kW   80kW   80kW   1843.60    2909.63               85500.67
90kW   90kW   90kW   90kW   90kW   90kW   2074.05    2505.08               85288.95
100kW  100kW  100kW  100kW  100kW  100kW  2304.50    2145.54               85131.98
110kW  110kW  110kW  110kW  110kW  110kW  2534.95    1826.34               85024.05
120kW  120kW  120kW  120kW  120kW  120kW  2765.40    1542.22               84958.79
130kW  130kW  130kW  130kW  130kW  130kW  2995.85    1291.90               84934.62
140kW  140kW  140kW  140kW  140kW  140kW  3226.30    1072.11               84947.58
150kW  150kW  150kW  150kW  150kW  150kW  3456.75    895.16                85012.65
160kW  160kW  160kW  160kW  160kW  160kW  3687.20    746.61                85112.24
170kW  170kW  170kW  170kW  170kW  170kW  3917.65    612.46                85229.34
180kW  180kW  180kW  180kW  180kW  180kW  4148.10    486.43                85356.32
190kW  190kW  190kW  190kW  190kW  190kW  4378.55    370.46                85495.53
200kW  200kW  200kW  200kW  200kW  200kW  4609.00    268.93                85652.31
210kW  210kW  210kW  210kW  210kW  210kW  4839.45    187.74                85833.81
220kW  220kW  220kW  220kW  220kW  220kW  5069.90    125.49                86038.35
230kW  230kW  230kW  230kW  230kW  230kW  5300.35    75.93                 86258.33
240kW  240kW  240kW  240kW  240kW  240kW  5530.80    40.91                 86495.99
250kW  250kW  250kW  250kW  250kW  250kW  5761.25    14.06                 86743.57
260kW  260kW  260kW  260kW  260kW  260kW  5991.70    0.00                  87006.71
270kW  270kW  270kW  270kW  270kW  270kW  6222.15    0.00                  87286.95
280kW  280kW  280kW  280kW  280kW  280kW  6452.60    0.00                  87567.19
290kW  290kW  290kW  290kW  290kW  290kW  6683.05    0.00                  87847.43
300kW  300kW  300kW  300kW  300kW  300kW  6913.50    0.00                  88127.67
