CORBA POTÈNCIA fontajau febrer-juliol 2023

01/02/2023 01:00 23 kW (estiu=False)
01/02/2023 02:00 22 kW (estiu=False)
01/02/2023 03:00 23 kW (estiu=False)
01/02/2023 04:00 22 kW (estiu=False)
01/02/2023 05:00 23 kW (estiu=False)
01/02/2023 06:00 22 kW (estiu=False)
01/02/2023 07:00 24 kW (estiu=False)
01/02/2023 08:00 46 kW (estiu=False)
01/02/2023 09:00 52 kW (estiu=False)
01/02/2023 10:00 100 kW (estiu=False)
01/02/2023 11:00 81 kW (estiu=False)
01/02/2023 12:00 66 kW (estiu=False)
01/02/2023 13:00 61 kW (estiu=False)
01/02/2023 14:00 47 kW (estiu=False)
01/02/2023 15:00 47 kW (estiu=False)
01/02/2023 16:00 45 kW (estiu=False)
01/02/2023 17:00 52 kW (estiu=False)
01/02/2023 18:00 73 kW (estiu=False)
01/02/2023 19:00 89 kW (estiu=False)
01/02/2023 20:00 98 kW (estiu=False)
01/02/2023 21:00 83 kW (estiu=False)
01/02/2023 22:00 73 kW (estiu=False)
01/02/2023 23:00 44 kW (estiu=False)
02/02/2023 00:00 36 kW (estiu=False)
02/02/2023 01:00 23 kW (estiu=False)
02/02/2023 02:00 22 kW (estiu=False)
02/02/2023 03:00 23 kW (estiu=False)
02/02/2023 04:00 22 kW (estiu=False)
02/02/2023 05:00 23 kW (estiu=False)
02/02/2023 06:00 22 kW (estiu=False)
02/02/2023 07:00 23 kW (estiu=False)
02/02/2023 08:00 38 kW (estiu=False)
02/02/2023 09:00 98 kW (estiu=False)
02/02/2023 10:00 130 kW (estiu=False)
02/02/2023 11:00 149 kW (estiu=False)
02/02/2023 12:00 140 kW (estiu=False)
02/02/2023 13:00 142 kW (estiu=False)
02/02/2023 14:00 149 kW (estiu=False)
02/02/2023 15:00 95 kW (estiu=False)
02/02/2023 16:00 34 kW (estiu=False)
02/02/2023 17:00 42 kW (estiu=False)
02/02/2023 18:00 74 kW (estiu=False)
02/02/2023 19:00 93 kW (estiu=False)
02/02/2023 20:00 103 kW (estiu=False)
02/02/2023 21:00 88 kW (estiu=False)
02/02/2023 22:00 70 kW (estiu=False)
02/02/2023 23:00 54 kW (estiu=False)
03/02/2023 00:00 38 kW (estiu=False)
03/02/2023 01:00 24 kW (estiu=False)
03/02/2023 02:00 24 kW (estiu=False)
03/02/2023 03:00 22 kW (estiu=False)
03/02/2023 04:00 23 kW (estiu=False)
03/02/2023 05:00 22 kW (estiu=False)
03/02/2023 06:00 23 kW (estiu=False)
03/02/2023 07:00 26 kW (estiu=False)
03/02/2023 08:00 47 kW (estiu=False)
03/02/2023 09:00 55 kW (estiu=False)
03/02/2023 10:00 111 kW (estiu=False)
03/02/2023 11:00 161 kW (estiu=False)
03/02/2023 12:00 142 kW (estiu=False)
03/02/2023 13:00 127 kW (estiu=False)
03/02/2023 14:00 94 kW (estiu=False)
03/02/2023 15:00 59 kW (estiu=False)
03/02/2023 16:00 37 kW (estiu=False)
03/02/2023 17:00 38 kW (estiu=False)
03/02/2023 18:00 57 kW (estiu=False)
03/02/2023 19:00 83 kW (estiu=False)
03/02/2023 20:00 87 kW (estiu=False)
03/02/2023 21:00 83 kW (estiu=False)
03/02/2023 22:00 80 kW (estiu=False)
03/02/2023 23:00 70 kW (estiu=False)
04/02/2023 00:00 45 kW (estiu=False)
04/02/2023 01:00 23 kW (estiu=False)
04/02/2023 02:00 23 kW (estiu=False)
04/02/2023 03:00 23 kW (estiu=False)
04/02/2023 04:00 24 kW (estiu=False)
04/02/2023 05:00 23 kW (estiu=False)
04/02/2023 06:00 22 kW (estiu=False)
04/02/2023 07:00 24 kW (estiu=False)
04/02/2023 08:00 37 kW (estiu=False)
04/02/2023 09:00 70 kW (estiu=False)
04/02/2023 10:00 113 kW (estiu=False)
04/02/2023 11:00 158 kW (estiu=False)
04/02/2023 12:00 150 kW (estiu=False)
04/02/2023 13:00 115 kW (estiu=False)
04/02/2023 14:00 57 kW (estiu=False)
04/02/2023 15:00 25 kW (estiu=False)
04/02/2023 16:00 93 kW (estiu=False)
04/02/2023 17:00 196 kW (estiu=False)
04/02/2023 18:00 131 kW (estiu=False)
04/02/2023 19:00 154 kW (estiu=False)
04/02/2023 20:00 86 kW (estiu=False)
04/02/2023 21:00 52 kW (estiu=False)
04/02/2023 22:00 35 kW (estiu=False)
04/02/2023 23:00 33 kW (estiu=False)
05/02/2023 00:00 26 kW (estiu=False)
05/02/2023 01:00 23 kW (estiu=False)
05/02/2023 02:00 22 kW (estiu=False)
05/02/2023 03:00 23 kW (estiu=False)
05/02/2023 04:00 22 kW (estiu=False)
05/02/2023 05:00 23 kW (estiu=False)
05/02/2023 06:00 23 kW (estiu=False)
05/02/2023 07:00 23 kW (estiu=False)
05/02/2023 08:00 36 kW (estiu=False)
05/02/2023 09:00 26 kW (estiu=False)
05/02/2023 10:00 18 kW (estiu=False)
05/02/2023 11:00 26 kW (estiu=False)
05/02/2023 12:00 44 kW (estiu=False)
05/02/2023 13:00 44 kW (estiu=False)
05/02/2023 14:00 44 kW (estiu=False)
